id_joueur,nom_complet,prenom,nom,actif,url_photo
1629655,Daniel Gafford,Daniel,Gafford,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629655.png
101184,Deng Gai,Deng,Gai,False,https://cdn.nba.com/headshots/nba/latest/1040x760/101184.png
76769,Elmer R. Gainer,Elmer R.,Gainer,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76769.png
76770,Corey Gaines,Corey,Gaines,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76770.png
2558,Reece Gaines,Reece,Gaines,False,https://cdn.nba.com/headshots/nba/latest/1040x760/2558.png
202178,Sundiata Gaines,Sundiata,Gaines,False,https://cdn.nba.com/headshots/nba/latest/1040x760/202178.png
76771,Mike Gale,Mike,Gale,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76771.png
76772,Chad Gallagher,Chad,Gallagher,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76772.png
76773,Harry Gallatin,Harry,Gallatin,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76773.png
201568,Danilo Gallinari,Danilo,Gallinari,False,https://cdn.nba.com/headshots/nba/latest/1040x760/201568.png
1641945,Jaylin Galloway,Jaylin,Galloway,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1641945.png
204038,Langston Galloway,Langston,Galloway,False,https://cdn.nba.com/headshots/nba/latest/1040x760/204038.png
76774,Dave Gambee,Dave,Gambee,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76774.png
333,Kevin Gamble,Kevin,Gamble,False,https://cdn.nba.com/headshots/nba/latest/1040x760/333.png
76776,Bob Gantt,Bob,Gantt,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76776.png
200816,Jorge Garbajosa,Jorge,Garbajosa,False,https://cdn.nba.com/headshots/nba/latest/1040x760/200816.png
2092,Ruben Garces,Ruben,Garces,False,https://cdn.nba.com/headshots/nba/latest/1040x760/2092.png
2682,Alex Garcia,Alex,Garcia,False,https://cdn.nba.com/headshots/nba/latest/1040x760/2682.png
101128,Francisco Garcia,Francisco,Garcia,False,https://cdn.nba.com/headshots/nba/latest/1040x760/101128.png
76778,Earl Gardner,Earl,Gardner,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76778.png
201242,Thomas Gardner,Thomas,Gardner,False,https://cdn.nba.com/headshots/nba/latest/1040x760/201242.png
76779,Vern Gardner,Vern,Gardner,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76779.png
76780,Jack Garfinkel,Jack,Garfinkel,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76780.png
1627868,Patricio Garino,Patricio,Garino,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1627868.png
1629636,Darius Garland,Darius,Garland,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629636.png
76781,Gary Garland,Gary,Garland,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76781.png
76782,Winston Garland,Winston,Garland,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76782.png
76783,Dick Garmaker,Dick,Garmaker,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76783.png
1612,Chris Garner,Chris,Garner,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1612.png
76785,Bill Garnett,Bill,Garnett,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76785.png
708,Kevin Garnett,Kevin,Garnett,False,https://cdn.nba.com/headshots/nba/latest/1040x760/708.png
1831,Marlon Garnett,Marlon,Garnett,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1831.png
1628656,Billy Garrett,Billy,Garrett,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1628656.png
76786,Calvin Garrett,Calvin,Garrett,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76786.png
1051,Dean Garrett,Dean,Garrett,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1051.png
203197,Diante Garrett,Diante,Garrett,False,https://cdn.nba.com/headshots/nba/latest/1040x760/203197.png
76788,Eldo Garrett,Eldo,Garrett,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76788.png
1630585,Marcus Garrett,Marcus,Garrett,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630585.png
76789,Rowland Garrett,Rowland,Garrett,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76789.png
76790,Tom Garrick,Tom,Garrick,False,https://cdn.nba.com/headshots/nba/latest/1040x760/76790.png
